FID,OBJECTID,SHAPE,ADRESSE,ANDERE_BEZEICHNUNG,ART_DER_ORGANISATION,ART_DES_BAUWERKS,ART_DES_EREIGNISSES,ART_DES_OBJEKTS,BENANNT_NACH,BEZIRK,BEZIRK_TXT,DATUM_BIS,DATUM_VON,EINLAGEZAHL,FRUEHERE_BEZEICHNUNG,KATEGORIE,KATEGORIE_TXT,LAGE,NAME_SEIT,PAGEID,PROMINENTE_BEWOHNER,PROMINENTE_PERSONEN,SEITENNAME,STADTPLAN,WEBLINK1,SE_ANNO_CAD_DATA
KULTURWIKIOGD.293151,293151,POINT (16.47334143492282 48.20167442317532),"22., Ulanenweg 74",,,,,Verkehrsfläche,Reiter mit langer Stoßlanze (Ulanen),22,22,,,,Franzosenweg (nicht amtlich),0,TopografischeObjekte,Aspern,2 November 1966,651,,,Ulanenweg,1,https://www.geschichtewiki.wien.gv.at/?curid=651,
KULTURWIKIOGD.293152,293152,POINT (16.332980999308223 48.18766708866642),"15., Ullmannstraße 30",,,,,Verkehrsfläche,Josef Ullmann,15,15,,,,,0,topografische_objekte,Sechshaus,,661,,,Ullmannstraße,1,https://www.geschichtewiki.wien.gv.at/?curid=661,
KULTURWIKIOGD.293153,293153,POINT (16.43400972984643 48.25300285593476),"22., Ullreichgasse 13/1",,,,,Verkehrsfläche,Franz Ullreich,22,22,,,,,0,TopografischeObjekte,,8 Oktober 1992,703,,,Ullreichgasse,1,https://www.geschichtewiki.wien.gv.at/?curid=703,
KULTURWIKIOGD.293154,293154,POINT (16.254857768886772 48.21793026052939),"14., Ulmenstraße 99",,,,,Verkehrsfläche,Waldbaum (Ulmus),14,14,,,,,0,TopografischeObjekte,Hütteldorf,3 Juni 1953,705,,,Ulmenstraße,1,https://www.geschichtewiki.wien.gv.at/?curid=705,
KULTURWIKIOGD.293155,293155,POINT (16.38591031479773 48.21307023983815),"02., Ulrichgasse 4/1",,,,,Verkehrsfläche,Leopold Ulrich,2,2,,,,,0,topografische_objekte,Leopoldstadt,,707,,,Ulrichgasse,1,https://www.geschichtewiki.wien.gv.at/?curid=707,
KULTURWIKIOGD.293156,293156,POINT (16.518344027466355 48.206081028912955),"22., Kirschenallee 89",,,,,Verkehrsfläche,Robert Ultzmann,22,22,,,,,0,TopografischeObjekte,Eßling,3 Februar 1954,1208,,,Ultzmanngasse,1,https://www.geschichtewiki.wien.gv.at/?curid=1208,
KULTURWIKIOGD.293157,293157,POINT (16.30254695682169 48.22557719103159),"17., Umlauftgasse 4",,,,,Verkehrsfläche,Friedrich Umlauft,17,17,,,,,0,topografische_objekte,Dornbach,,1220,,,Umlauftgasse,1,https://www.geschichtewiki.wien.gv.at/?curid=1220,
KULTURWIKIOGD.293158,293158,POINT (16.286637322381697 48.200302671428744),"14., Underreingasse 35",,,,,Verkehrsfläche,Ignaz Underrein,14,14,,,,,0,TopografischeObjekte,Unterbaumgarten,24 April 1929,1245,,,Underreingasse,1,https://www.geschichtewiki.wien.gv.at/?curid=1245,
KULTURWIKIOGD.293159,293159,POINT (16.367697568734023 48.15277984876456),"10., Undsetgasse 23",,,,,Verkehrsfläche,Sigrid Undset (norwegische Dichterin),10,10,,,,,0,TopografischeObjekte,Inzersdorf-Stadt,16 November 1955,1249,,,Undsetgasse,1,https://www.geschichtewiki.wien.gv.at/?curid=1249,
KULTURWIKIOGD.293160,293160,POINT (16.38742279458415 48.199396552072535),"03., Ungargasse 48",Hungargasse,,,,Verkehrsfläche,Herbergen für Ungarn (zumeist Kaufleute),3,,,,,,0,topografische_objekte,Landstraße,,1308,,,Ungargasse,1,https://www.geschichtewiki.wien.gv.at/?curid=1308,
KULTURWIKIOGD.293161,293161,POINT (16.36085381075661 48.21113931307348),"01., Löwelstraße 20",,,,,Verkehrsfläche,Universität Wien,1,,,,,,0,topografische_objekte,,,33694,,,Universitätsring,1,https://www.geschichtewiki.wien.gv.at/?curid=33694,
KULTURWIKIOGD.293162,293162,POINT (16.35871573074964 48.214267025883004),"01., Universitätsstraße 5",,,,,Verkehrsfläche,Universität Wien (Hauptgebäude),1,,,,,,0,topografische_objekte,,,2048,,,Universitätsstraße,1,https://www.geschichtewiki.wien.gv.at/?curid=2048,
KULTURWIKIOGD.293163,293163,POINT (16.378998089229754 48.23563914083067),"20., Universumstraße 40",,,,,Verkehrsfläche,Universum (Vergnügungsetablissment),,,,,,,0,topografische_objekte,,,2056,,,Universumstraße,1,https://www.geschichtewiki.wien.gv.at/?curid=2056,
KULTURWIKIOGD.293164,293164,POINT (16.426687068696303 48.172033646783994),"11., Unter der Kirche 30/8",,,,,Verkehrsfläche,Alte Simmeringer Kirche,11,,,,,,0,topografische_objekte,Simmering,,2087,,,Unter der Kirche,1,https://www.geschichtewiki.wien.gv.at/?curid=2087,
KULTURWIKIOGD.293165,293165,POINT (16.340988778440508 48.17215733192486),"12., Kastanienallee 2",,,,,Verkehrsfläche,Meidling (Vorort),,,,,,,0,topografische_objekte,Inzersdorf-Stadt ; Untermeidling,,2187,,,Unter-Meidlinger Straße,1,https://www.geschichtewiki.wien.gv.at/?curid=2187,
KULTURWIKIOGD.293166,293166,POINT (16.375924863149795 48.22955848733613),"20., Unterbergergasse 1(SCHULE)",,,,,Verkehrsfläche,Michelangelo Unterberger,20,20,,,,,0,topografische_objekte,,,2081,,,Unterbergergasse,1,https://www.geschichtewiki.wien.gv.at/?curid=2081,
KULTURWIKIOGD.293167,293167,POINT (16.27274036536313 48.13550916491858),"23., Untere Aquäduktgasse 11/2",,,,,Verkehrsfläche,Erste Hochquellenleitung,23,23,,,,,0,TopografischeObjekte,Liesing,,2097,,,Untere Aquäduktgasse,1,https://www.geschichtewiki.wien.gv.at/?curid=2097,
KULTURWIKIOGD.293168,293168,POINT (16.373197929597207 48.22108771196157),"02., Untere Augartenstraße 28",,,,,Verkehrsfläche,,2,,,,,,0,topografische_objekte,,,2098,,,Untere Augartenstraße,1,https://www.geschichtewiki.wien.gv.at/?curid=2098,
KULTURWIKIOGD.293169,293169,POINT (16.40403093777932 48.14047035452169),"10., Untere Bahnlände 14",,,,,Verkehrsfläche,Donauländebahn,10,10,,,,,0,TopografischeObjekte,,15 Juni 1993,2101,,,Untere Bahnlände,1,https://www.geschichtewiki.wien.gv.at/?curid=2101,
KULTURWIKIOGD.293170,293170,POINT (16.384035135205256 48.21257702313598),"02., Untere Donaustraße 21",,,,,Verkehrsfläche,,2,2,,,,,0,topografische_objekte,,,2105,,,Untere Donaustraße,1,https://www.geschichtewiki.wien.gv.at/?curid=2105,
KULTURWIKIOGD.293171,293171,POINT (16.393644216186747 48.30511957562654),"21., Untere Jungenberggasse 61",,,,,Verkehrsfläche,Historischem Flurnamen,21,21,,,,,0,TopografischeObjekte,Stammersdorf,,2112,,,Untere Jungenberggasse,1,https://www.geschichtewiki.wien.gv.at/?curid=2112,
KULTURWIKIOGD.293172,293172,POINT (16.402370939775263 48.13620937579638),"10., Kästenbaumgasse 34/8",,,,,Verkehrsfläche,Verlauf entlang des linken Liesingbachufers,10,10,,,,,0,TopografischeObjekte,,15 Juni 1993,2113,,,Untere Kaistraße,1,https://www.geschichtewiki.wien.gv.at/?curid=2113,
KULTURWIKIOGD.293173,293173,POINT (16.271126810151603 48.137188211453484),"23., Untere Mühlbachgasse 8",,,,,Verkehrsfläche,Nach dem die Aumühle betreibenden Bach,23,23,,,,,0,TopografischeObjekte,Rodaun,,2116,,,Untere Mühlbachgasse,1,https://www.geschichtewiki.wien.gv.at/?curid=2116,
KULTURWIKIOGD.293174,293174,POINT (16.3863423463845 48.299451875536015),"21., Untere Sätzen 19",,,,,Verkehrsfläche,Historischem Flurnamen,21,21,,,,Kellergasse,0,topografische_objekte,Strebersdorf,,2127,,,Untere Sätzen,1,https://www.geschichtewiki.wien.gv.at/?curid=2127,
KULTURWIKIOGD.293175,293175,POINT (16.38945210429346 48.20985903293966),"03., Untere Viaduktgasse 23",,,,,Verkehrsfläche,"""unteren"" Viadukten (Verbindungsbahn)",3,3,,,,,0,topografische_objekte,Weißgerbervorstadt,,2136,,,Untere Viaduktgasse,1,https://www.geschichtewiki.wien.gv.at/?curid=2136,
KULTURWIKIOGD.293176,293176,POINT (16.394110081409494 48.20932103182568),"03., Untere Weißgerberstraße 26",,,,,Verkehrsfläche,Weißgerber (Vorstadt),3,3,,,,Gärtnergasse,0,topografische_objekte,Weißgerbervorstadt,,2142,,,Untere Weißgerberstraße,1,https://www.geschichtewiki.wien.gv.at/?curid=2142,
KULTURWIKIOGD.293177,293177,POINT (16.331997452851883 48.25874783465791),"19., Unterer Reisenbergweg 16",,,,,Verkehrsfläche,Reisenberg,19,,,,,,0,topografische_objekte,Grinzing,,2121,,,Unterer Reisenbergweg,1,https://www.geschichtewiki.wien.gv.at/?curid=2121,
KULTURWIKIOGD.293178,293178,POINT (16.34129441193153 48.261171817826074),"19., Unterer Schreiberweg 80",,,,,Verkehrsfläche,,19,,,,,,0,topografische_objekte,Grinzing,,2122,,,Unterer Schreiberweg,1,https://www.geschichtewiki.wien.gv.at/?curid=2122,
KULTURWIKIOGD.293179,293179,POINT (16.347933390963984 48.26993077173022),"19., Jungherrnsteig 73",,,,,Verkehrsfläche,Flurnamen Weisleiten,19,,,,,,0,topografische_objekte,Nußdorf,,2123,,,Unterer Weisleitenweg,1,https://www.geschichtewiki.wien.gv.at/?curid=2123,
KULTURWIKIOGD.293180,293180,POINT (16.418432346637008 48.16133948967676),"11., Unterfeldgasse 9",,,,,Verkehrsfläche,"Flurnamen: ""Unteres Feld""",11,11,,,,,0,topografische_objekte,Simmering,,2145,,,Unterfeldgasse,1,https://www.geschichtewiki.wien.gv.at/?curid=2145,
KULTURWIKIOGD.293181,293181,POINT (16.485919060894478 48.250672102738044),"22., Unterfeldweg 40(HAUS 1)",,,,,Verkehrsfläche,Historischem Flurnamen,22,22,,,,,0,TopografischeObjekte,Hirschstetten,2 Juli 1944,2147,,,Unterfeldweg,1,https://www.geschichtewiki.wien.gv.at/?curid=2147,
KULTURWIKIOGD.293182,293182,POINT (16.414412744491166 48.132871751339444),"10., Unterlaaer Platz 7",,,,,Verkehrsfläche,Unterlaa,10,10,,,,,0,TopografischeObjekte,,8 Oktober 1987,2184,,,Unterlaaer Platz,1,https://www.geschichtewiki.wien.gv.at/?curid=2184,
KULTURWIKIOGD.293183,293183,POINT (16.41258388851286 48.13567937244411),"10., Unter-Laaer Straße 20",,,,,Verkehrsfläche,Unterlaa,10,10,,,,,0,TopografischeObjekte,,,2185,,,Unterlaaer Straße,1,https://www.geschichtewiki.wien.gv.at/?curid=2185,
KULTURWIKIOGD.293184,293184,POINT (16.379908431984703 48.14885390341552),"10., Lundgasse 25",,,,,Verkehrsfläche,Schwedischen Universitätsstadt Uppsala,10,10,,,,,0,TopografischeObjekte,Per-Albin-Hansson-Siedlung,,2292,,,Upsalagasse,1,https://www.geschichtewiki.wien.gv.at/?curid=2292,
KULTURWIKIOGD.293185,293185,POINT (16.383634238875732 48.2113062936618),"01., Uraniastraße 1",,,,,Verkehrsfläche,Volksbildungshaus Urania,1,1,,,,Georg-Coch-Straße,0,topografische_objekte,,,2302,,,Uraniastraße,1,https://www.geschichtewiki.wien.gv.at/?curid=2302,
KULTURWIKIOGD.293186,293186,POINT (16.252017420290493 48.20802676901757),"14., Venusweg 2",,,,,Verkehrsfläche,Planet Uranus,14,14,,,,,0,topografische_objekte,Hütteldorf,,2303,,,Uranusweg,1,https://www.geschichtewiki.wien.gv.at/?curid=2303,
KULTURWIKIOGD.293187,293187,POINT (16.337900245573845 48.201366714094036),"07., Urban-Loritz-Platz WC-ANLAGE",,,,,Verkehrsfläche,Urban Loritz,7,,,,,,0,topografische_objekte,,,2318,,,Urban-Loritz-Platz,1,https://www.geschichtewiki.wien.gv.at/?curid=2318,
KULTURWIKIOGD.293188,293188,POINT (16.308931306844208 48.22414292782117),"17., Lascygasse 20",,,,,Verkehrsfläche,Urban Mayer (Minoritenpater),17,17,,,,,0,topografische_objekte,Dornbach,,2308,,,Urbangasse,1,https://www.geschichtewiki.wien.gv.at/?curid=2308,
KULTURWIKIOGD.293189,293189,POINT (16.41035514801993 48.183738786659305),"11., Urschenböckgasse 8",,,,,Verkehrsfläche,Freiherren von Urschenböck,11,11,,,,,0,topografische_objekte,Simmering,,2544,,,Urschenböckgasse,1,https://www.geschichtewiki.wien.gv.at/?curid=2544,
KULTURWIKIOGD.293190,293190,POINT (16.39416947691098 48.167336545672335),"10., KLG Garten-und Tierfreunde Parz. 123",,,,,Verkehrsfläche,Historischem Flurnamen Urselbrunnen,10,10,,,,,0,TopografischeObjekte,Oberlaa-Stadt,5 Februar 1964,2548,,,Urselbrunnengasse,1,https://www.geschichtewiki.wien.gv.at/?curid=2548,
KULTURWIKIOGD.293191,293191,POINT (16.246603929722117 48.20283091568356),"14., Utendorfgasse 9/1",,,,,Verkehrsfläche,Historische Bezeichnung für Hütteldorf,14,14,,,,Mühlgasse,0,topografische_objekte,Hütteldorf,,2959,,,Utendorfgasse,1,https://www.geschichtewiki.wien.gv.at/?curid=2959,
KULTURWIKIOGD.293192,293192,POINT (16.300585896564986 48.23915164249899),"18., KLG Schafbergsiedlung Gruppe Knorr PARZ. 9",,,,,Verkehrsfläche,Griechischer Begriff Utopia,18,18,,,,Am Schafberg,0,TopografischeObjekte,Pötzleinsdorf,15 Dezember 1954,2960,,,Utopiaweg,1,https://www.geschichtewiki.wien.gv.at/?curid=2960,
KULTURWIKIOGD.293193,293193,POINT (16.44380806898634 48.215222684120185),"22., Uzzi-Förster-Weg 14",,,,,Verkehrsfläche,Ulrich Christian Ludwig Förster,22,22,,2002,,,0,TopografischeObjekte,,4 Juni 2002,29907,,,Uzzi-Förster-Weg,1,https://www.geschichtewiki.wien.gv.at/?curid=29907,
KULTURWIKIOGD.293194,293194,POINT (16.264861089910085 48.14968640742058),"23., Valentingasse 16",,,,,Verkehrsfläche,Valentin von Mack,23,23,,1843,,"Krautgasse,Frauengasse",0,TopografischeObjekte,Mauer,19 Januar 1866,2967,,,Valentingasse,1,https://www.geschichtewiki.wien.gv.at/?curid=2967,
KULTURWIKIOGD.293195,293195,POINT (16.471383616342973 48.15669097325009),"11., Muhrhoferweg 13/18",,,,,Verkehrsfläche,Max Valier,11,11,,,,,0,topografische_objekte,Kaiserebersdorf,,2983,,,Valiergasse,1,https://www.geschichtewiki.wien.gv.at/?curid=2983,
KULTURWIKIOGD.293196,293196,POINT (16.380571291464204 48.180964476684096),"10., Vally-Weigl-Gasse 5/4",,,,,Verkehrsfläche,Vally Weigl,10,,,,,,0,topografische_objekte,Sonnwendviertel,,33348,,,Vally-Weigl-Gasse,1,https://www.geschichtewiki.wien.gv.at/?curid=33348,
KULTURWIKIOGD.293197,293197,POINT (16.356457037681068 48.218791653446274),"09., Van-Swieten-Gasse 10",,,,,Verkehrsfläche,Gerhard van Swieten,,,,,,,0,topografische_objekte,,,3000,,,Van-Swieten-Gasse,1,https://www.geschichtewiki.wien.gv.at/?curid=3000,
KULTURWIKIOGD.293198,293198,POINT (16.368775637721733 48.17383272073635),"10., Davidgasse 32",,,,,Verkehrsfläche,Eduard van der Nüll,10,,,,,,0,topografische_objekte,,,2999,,,Van-der-Nüll-Gasse,1,https://www.geschichtewiki.wien.gv.at/?curid=2999,
KULTURWIKIOGD.293199,293199,POINT (16.455216215874472 48.22695004381658),"22., Varnhagengasse 9",,,,,Verkehrsfläche,Karl August Varnhagen von Ense,22,22,,,,Erzherzog-Karl-Gasse,0,topografische_objekte,Hirschstetten,,3015,,,Varnhagengasse,1,https://www.geschichtewiki.wien.gv.at/?curid=3015,
KULTURWIKIOGD.293200,293200,POINT (16.305627621294907 48.12512798659818),"23., Varronegasse 8",,,,,Verkehrsfläche,Johann Varrone,23,23,,,,,0,TopografischeObjekte,Siebenhirten,7 Januar 1959,3020,,,Varronegasse,1,https://www.geschichtewiki.wien.gv.at/?curid=3020,
KULTURWIKIOGD.293201,293201,POINT (16.346790970058077 48.235528449837396),"19., Vegagasse 18",,,,,Verkehrsfläche,Georg von Vega,19,,,,,,0,topografische_objekte,Oberdöbling,,3094,,,Vegagasse,1,https://www.geschichtewiki.wien.gv.at/?curid=3094,
KULTURWIKIOGD.293202,293202,POINT (16.432564843407196 48.1732341803588),"11., KLG Simmeringer Haide Gruppe 4 Parz. 400",,,,,Verkehrsfläche,,11,11,,,,,0,TopografischeObjekte,Simmeringer Haide,,38370,,,"Veilchenweg, 11. Bezirk",1,https://www.geschichtewiki.wien.gv.at/?curid=38370,
KULTURWIKIOGD.293203,293203,POINT (16.2389548503634 48.20551197531704),"14., Rudolf-Henke-Straße 13",,,,,Verkehrsfläche,,14,14,,,,Blütenpflanze,0,TopografischeObjekte,"14, Auhof; am Bierhäuselberg",,3097,,,"Veilchenweg, 14. Bezirk",1,https://www.geschichtewiki.wien.gv.at/?curid=3097,
KULTURWIKIOGD.293204,293204,POINT (16.37957959774062 48.19833163901861),"03., Veithgasse 5",,,,,Verkehrsfläche,Johann Emanuel Veith,3,3,,,,Uhdegasse,0,topografische_objekte,,,3274,,,Veithgasse,1,https://www.geschichtewiki.wien.gv.at/?curid=3274,
KULTURWIKIOGD.293205,293205,POINT (16.27249228403627 48.17999664568404),"13., Veitingergasse 62",,,,,Verkehrsfläche,St. Veit (Vorort),13,13,,,,,0,topografische_objekte,,,3280,,,Veitingergasse,1,https://www.geschichtewiki.wien.gv.at/?curid=3280,
KULTURWIKIOGD.293206,293206,POINT (16.25969894330464 48.187197195109775),"13., Veitlissengasse 11",,,,,Verkehrsfläche,Dem historischen Flurnamen Veitlissen und Lüssen,13,13,,,,Gartengasse,0,topografische_objekte,Ober-Sankt-Veit,,3282,,,Veitlissengasse,1,https://www.geschichtewiki.wien.gv.at/?curid=3282,
KULTURWIKIOGD.293207,293207,POINT (16.438891371313755 48.22549879049393),"22., Veitschiweg 16",,,,,Verkehrsfläche,Pflanze,22,22,,2004,,,0,TopografischeObjekte,,18 Oktober 2004,33592,,,Veitschiweg,1,https://www.geschichtewiki.wien.gv.at/?curid=33592,
KULTURWIKIOGD.293208,293208,POINT (16.282342820307143 48.22730517115839),"17., Veletaweg 19",,,,,Verkehrsfläche,Josef Veleta,17,17,,2016,,,0,TopografischeObjekte,KGV Am Heuberg,10 Mai 2016,46167,,,Veletaweg,1,https://www.geschichtewiki.wien.gv.at/?curid=46167,
KULTURWIKIOGD.293209,293209,POINT (16.325474246299354 48.256874181504834),"19., Veltzegasse 8",,,,,Verkehrsfläche,Alois Veltzé,19,,,,,,0,topografische_objekte,Untersievering,,3301,,,Veltzégasse,1,https://www.geschichtewiki.wien.gv.at/?curid=3301,
KULTURWIKIOGD.293210,293210,POINT (16.396868752808427 48.21924348092479),"02., Venediger Au 5",Unter den Felbern,,,,Verkehrsfläche,,2,2,,,,,0,topografische_objekte,zwischen Ausstellungs- und Lassallestraße; Venediger Au-Park,,3323,,,Venediger Au,1,https://www.geschichtewiki.wien.gv.at/?curid=3323,
KULTURWIKIOGD.293211,293211,POINT (16.250709184458806 48.2089492851167),"14., Venusweg 22",,,,,Verkehrsfläche,Planeten Venus,14,14,,,,,0,topografische_objekte,Hütteldorf; Siedlung Wolfersberg,,3343,,,Venusweg,1,https://www.geschichtewiki.wien.gv.at/?curid=3343,
KULTURWIKIOGD.293212,293212,POINT (16.30972122449674 48.2263804687652),"17., Hernalser Hauptstraße 230/17",,,,,Verkehrsfläche,Vera Ferra-Mikura,17,17,,2004,,,0,TopografischeObjekte,Dornbach,4 Mai 2004,29920,,,Vera-Ferra-Mikura-Weg,1,https://www.geschichtewiki.wien.gv.at/?curid=29920,
KULTURWIKIOGD.293213,293213,POINT (16.337934469057117 48.13557258550292),"23., Vera-Schwarz-Gasse 2",,,,,Verkehrsfläche,Vera Schwarz,23,,,,,,0,topografische_objekte,,,33446,,,Vera-Schwarz-Gasse,1,https://www.geschichtewiki.wien.gv.at/?curid=33446,
KULTURWIKIOGD.293214,293214,POINT (16.469363579294022 48.20289875727545),"22., Verbandsweg 25",,,,,Verkehrsfläche,Nach dem örtlichen Kleingarten- und Siedlerverband,22,22,,,,,0,topografische_objekte,Aspern,,3360,,,Verbandsweg,1,https://www.geschichtewiki.wien.gv.at/?curid=3360,
KULTURWIKIOGD.293215,293215,POINT (16.23679539564543 48.20676854722521),"14., Heimstättenstraße 4",,,,,Verkehrsfläche,,14,14,,,,,0,TopografischeObjekte,,,38417,,,"Verbindungsweg, 14. Bezirk",1,https://www.geschichtewiki.wien.gv.at/?curid=38417,
KULTURWIKIOGD.293216,293216,POINT (16.27876670461621 48.25194990036071),"17., Tiefauweg 9",,,,,Verkehrsfläche,,17,17,,2008,,,0,TopografischeObjekte,"Neuwaldegg, Siedlung Hügelwiese",10 Juni 2008,33022,,,"Verbindungsweg, 17. Bezirk",1,https://www.geschichtewiki.wien.gv.at/?curid=33022,
KULTURWIKIOGD.293217,293217,POINT (16.402213086042366 48.24180087256133),"21., Verbindungsweg 6",,,,,Verkehrsfläche,,21,21,,,,,0,TopografischeObjekte,,,38414,,,"Verbindungsweg, 21. Bezirk",1,https://www.geschichtewiki.wien.gv.at/?curid=38414,
KULTURWIKIOGD.293218,293218,POINT (16.384159550808818 48.22216371871212),"02., Vereinsgasse 15",,,,,Verkehrsfläche,Vereinshaus,2,2,,,,,0,topografische_objekte,Leopoldstadt,,3829,,,Vereinsgasse,1,https://www.geschichtewiki.wien.gv.at/?curid=3829,
KULTURWIKIOGD.293219,293219,POINT (16.36245298595957 48.22248930062319),"09., Pramergasse 5",,,,,Verkehrsfläche,Verena Buben,9,9,,,,,0,TopografischeObjekte,,12 September 1997,38420,,,Verena-Buben-Weg,1,https://www.geschichtewiki.wien.gv.at/?curid=38420,
KULTURWIKIOGD.293220,293220,POINT (16.482567153523497 48.22031158838854),"22., Vergaragasse 5",,,,,Verkehrsfläche,Antonio Theodorio Marquis Verga,22,22,,,,,0,topografische_objekte,Aspern,,3859,,,Vergaragasse,1,https://www.geschichtewiki.wien.gv.at/?curid=3859,
KULTURWIKIOGD.293221,293221,POINT (16.452392947683986 48.2276176710477),"22., Vernholzgasse 6/6",,,,,Verkehrsfläche,Christian Freiherr von Vernholz-Vernwald,22,22,,,,Bahngasse,0,topografische_objekte,Hirschstetten,,3916,,,Vernholzgasse,1,https://www.geschichtewiki.wien.gv.at/?curid=3916,
KULTURWIKIOGD.293222,293222,POINT (16.338573643008278 48.21501698701224),"17., Veronikagasse 28/4",,,,,Verkehrsfläche,Statue der heiligen Veronika,17,,,,,Obere Veronikagasse,0,topografische_objekte,,,3917,,,Veronikagasse,1,https://www.geschichtewiki.wien.gv.at/?curid=3917,
KULTURWIKIOGD.293223,293223,POINT (16.295135959838944 48.17464821389383),"13., Versbachgasse 4 TIEFGARAGE",,,,,Verkehrsfläche,Mansuet Freiherr von Versbach-Hadamar,13,13,,,,,0,topografische_objekte,Lainz,,3924,,,Versbachgasse,1,https://www.geschichtewiki.wien.gv.at/?curid=3924,
KULTURWIKIOGD.293224,293224,POINT (16.27577924172951 48.17331354155239),"13., Versorgungsheimplatz Portier",,,,,Verkehrsfläche,Pflegeheim Lainz,13,13,,,,,0,topografische_objekte,Lainz,,3955,,,Versorgungsheimplatz,1,https://www.geschichtewiki.wien.gv.at/?curid=3955,
KULTURWIKIOGD.293225,293225,POINT (16.28064202855273 48.17340450791494),"13., Versorgungsheimstraße 28",,,,,Verkehrsfläche,Pflegeheim Lainz,13,13,,,,,0,topografische_objekte,Lainz,,3956,,,Versorgungsheimstraße,1,https://www.geschichtewiki.wien.gv.at/?curid=3956,
KULTURWIKIOGD.293226,293226,POINT (16.38313306727545 48.160963269617234),"10., U-Bahn Station Altes Landgut U Station",Altes Landgut,,,,Verkehrsfläche,,10,,,,,,0,TopografischeObjekte,,,43076,,,Verteilerkreis Favoriten,1,https://www.geschichtewiki.wien.gv.at/?curid=43076,
KULTURWIKIOGD.293227,293227,POINT (16.31107883368109 48.15756129407358),"23., Montessorigasse 13",,,,,Verkehrsfläche,Elektrowerk Vertex,23,23,,1955,,Schubertgasse,0,TopografischeObjekte,Atzgersdorf,7 Dezember 1955,3958,,,Vertexgasse,1,https://www.geschichtewiki.wien.gv.at/?curid=3958,
KULTURWIKIOGD.293228,293228,POINT (16.43179646255447 48.254429712051454),"21., Veterinärplatz 1",,,,,Verkehrsfläche,,21,21,,1997,,,0,TopografischeObjekte,,16 Mai 1997,38527,,,Veterinärplatz,1,https://www.geschichtewiki.wien.gv.at/?curid=38527,
KULTURWIKIOGD.293229,293229,POINT (16.40917070045078 48.16049917791073),"10., Vettersgasse 17",,,,,Verkehrsfläche,Hermann Vetters (Geologe),10,10,,,,,0,topografische_objekte,Favoriten,,4483,,,Vettersgasse,1,https://www.geschichtewiki.wien.gv.at/?curid=4483,
KULTURWIKIOGD.293230,293230,POINT (16.367117233810546 48.19472412177578),"04., Wiedner Hauptstraße 33",,,,,Verkehrsfläche,Vicki Baum,4,,,,,,0,topografische_objekte,,,29926,,,Vicki-Baum-Platz,1,https://www.geschichtewiki.wien.gv.at/?curid=29926,
KULTURWIKIOGD.293231,293231,POINT (16.397205282392463 48.194727369463294),"03., Landstraßer Hauptstraße 138",,,,,Verkehrsfläche,Victor Braun,3,3,,2010,,,0,TopografischeObjekte,,4 Mai 2010,33388,,,Victor-Braun-Platz,1,https://www.geschichtewiki.wien.gv.at/?curid=33388,
KULTURWIKIOGD.293232,293232,POINT (16.400516731432297 48.15942201437983),"10., Victor-Gruen-Gasse 13",,,,,Verkehrsfläche,Victor Gruen,10,10,,,,Sindelargasse,0,TopografischeObjekte,,5 November 1981,4485,,,Victor-Gruen-Gasse,1,https://www.geschichtewiki.wien.gv.at/?curid=4485,
KULTURWIKIOGD.293233,293233,POINT (16.402798151878475 48.189738897171246),"03., Viehmarktgasse 2A",,,,,Verkehrsfläche,Zentralviehmarkt,3,3,,,,Erberger Mais,0,topografische_objekte,,,4488,,,Viehmarktgasse,1,https://www.geschichtewiki.wien.gv.at/?curid=4488,
KULTURWIKIOGD.293234,293234,POINT (16.433841627641012 48.26027536008746),"21., Viehtriftgasse 9/9",,,,,Verkehrsfläche,Historischem Flurnamen,21,21,,,,,0,TopografischeObjekte,,2 Dezember 1993,4499,,,Viehtriftgasse,1,https://www.geschichtewiki.wien.gv.at/?curid=4499,
KULTURWIKIOGD.293235,293235,POINT (16.33419123366033 48.17783543478163),"12., Vierthalergasse 16",,,,,Verkehrsfläche,Franz Michael Vierthaler,12,12,,,,Schillergasse,0,topografische_objekte,Untermeidling,,4632,,,Vierthalergasse,1,https://www.geschichtewiki.wien.gv.at/?curid=4632,
KULTURWIKIOGD.293236,293236,POINT (16.376346420969504 48.17643987801003),"10., Viktor-Adler-Markt Stand 75/76",,,,,Verkehrsfläche,Viktor Adler,10,10,,,,,0,topografische_objekte,Favoriten,,4711,,,Viktor-Adler-Platz,1,https://www.geschichtewiki.wien.gv.at/?curid=4711,
KULTURWIKIOGD.293237,293237,POINT (16.358231040596788 48.18844891657289),"05., Zentagasse 35/1",,,,,Verkehrsfläche,Viktor Christ,5,5,,,,Bachergasse,0,TopografischeObjekte,,15 Februar 1949,4712,,,Viktor-Christ-Gasse,1,https://www.geschichtewiki.wien.gv.at/?curid=4712,
KULTURWIKIOGD.293238,293238,POINT (16.22692885650097 48.21602825523675),"14., Viktor-Hagl-Gasse 12A",,,,,Verkehrsfläche,Viktor Hagl,14,14,,,,,0,TopografischeObjekte,Hadersdorf,,4717,,,Viktor-Hagl-Gasse,1,https://www.geschichtewiki.wien.gv.at/?curid=4717,
